descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento para venda possui 56 metros quadrados com 2 quartos em Federação - Salvador - Bahia;Rua Mestre Pastinha, 116;['56'];[2];[2];[1];275750;400;https://www.vivareal.com.br//imovel/apartamento-2-quartos-federacao-bairros-salvador-com-garagem-56m2-venda-RS275750-id-2553150533/
Apartamento 2 quartos Pituba;Rua Rubem Berta;['74'];[2];[3];[2];315000;650;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pituba-bairros-salvador-com-garagem-67m2-venda-RS315000-id-2527970128/
Apartamento com 3 suítes em Morro Ipiranga - Acabamento premium e vista mar total;Rua Cândido Portinari, 520;[];[3];[5];[3];2380000;2100;https://www.vivareal.com.br//imovel/apartamento-3-quartos-morro-ipiranga-bairros-salvador-com-garagem-184m2-venda-RS2380000-id-2556264348/
Apartamento para venda possui 136 metros quadrados com 4 quartos em Candeal - Salvador - Bahia;Rua Sócrates Guanaes Gomes, 44;['217'];[4];[4];[2];850000;1650;https://www.vivareal.com.br//imovel/apartamento-4-quartos-candeal-bairros-salvador-com-garagem-136m2-venda-RS850000-id-2554019420/
VISTA MAR ELEGANCE GARIBALDI;Rua Santa Isabela, 100;[];[3];[3];[2];800000;712;https://www.vivareal.com.br//imovel/apartamento-3-quartos-garibaldi-bairros-salvador-com-garagem-103m2-venda-RS800000-id-2485265484/
Apartamento para venda com 113 metros quadrados com 4/4 em Pituba - Salvador - Bahia;Rua Ceará, 526;['113'];[4];[4];[2];700000;700;https://www.vivareal.com.br//imovel/apartamento-4-quartos-pituba-bairros-salvador-com-garagem-113m2-venda-RS700000-id-2475949173/
Jaguah Residence 2 Suítes - Nascente - Vista Mar Permanente - Praia de Jaguaribe;Avenida Octávio Mangabeira, 10601;[];[2];[2];[2];857900;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-jaguaribe-bairros-salvador-com-garagem-77m2-venda-RS857900-id-2555547526/
Apartamento 92 metros² com 3/4 Varandão Gourmet Localização Espetacular;Alameda dos Flamboyants, 235;['141'];[3];[3];[2];800000;1025;https://www.vivareal.com.br//imovel/apartamento-3-quartos-caminho-das-arvores-bairros-salvador-com-garagem-92m2-venda-RS800000-id-2550628470/
Apartamento para venda tem 97 metros quadrados com 4 quartos em Vila Laura - Salvador - Bahia;Rua Raul Leite, 1470;[];[4];[3];[2];650000;610;https://www.vivareal.com.br//imovel/apartamento-4-quartos-vila-laura-bairros-salvador-com-garagem-97m2-venda-RS650000-id-2558217641/
Apartamento para venda de 1/4 revertido para 2/4 na Rua Politeama de Baixo - Salvador - Bahia;Rua Politeama de Baixo;[];[2];[1];[];180000;390;https://www.vivareal.com.br//imovel/apartamento-2-quartos-politeama-de-baixo-bairros-salvador-40m2-venda-RS180000-id-2546063487/
Venda apartamento Casablanca Vilage em Piata, Salvador/Ba, 110 metros, frente mar;Avenida Octávio Mangabeira, 11881;['146'];[3];[3];[1];580000;716;https://www.vivareal.com.br//imovel/apartamento-3-quartos-piata-bairros-salvador-com-garagem-109m2-venda-RS580000-id-2554503115/
Apartamento 4 Quartos Pituba;Rua Machado Neto, 267;[];[4];[3];[2];850000;1750;https://www.vivareal.com.br//imovel/apartamento-4-quartos-pituba-bairros-salvador-com-garagem-211m2-venda-RS850000-id-2537972152/
